cohort,mechanism,missing_rate,metric,higher_is_better,wilcoxon_stat,p_value,n_pairs,n_boot,note,p_holm,method_a,method_b,mean_a,mean_b,delta_a_minus_b,delta_ci95_low,delta_ci95_high,rank_biserial_r,p_holm_primary_family
metabric,mar,0.1,f1_macro,True,10.0,0.083984375,10,5000,,1.0,RFECA_SVR(k=20),SimpleMean,0.8779987803856862,0.8743290626841953,0.003669717701491,-8.297510591392735e-05,0.0069162117770342,0.6363636363636365,0.50390625
metabric,mar,0.1,f1_macro,True,6.0,0.02734375,10,5000,,0.41015625,MissForest,SimpleMean,0.8791786876085735,0.8743290626841953,0.0048496249243784,0.0010141124294703,0.0081871032743709,0.7818181818181817,0.21875
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=5),SimpleMean,0.8708808668237511,0.8635717320954566,0.0073091347282945,0.0049444892515329,0.0099213303436063,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,RFECA_SVR(k=10),SimpleMean,0.8709077508526741,0.8635717320954566,0.0073360187572175,0.0038672690187053,0.0112298081070421,0.9636363636363636,0.0234375
metabric,mar,0.2,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=20),SimpleMean,0.8710153657068591,0.8635717320954566,0.0074436336114025,0.0045234423125546,0.0112054988562423,1.0,0.015625
metabric,mar,0.2,f1_macro,True,1.0,0.00390625,10,5000,,0.046875,MissForest,SimpleMean,0.8707923202001207,0.8635717320954566,0.0072205881046641,0.0039461190679284,0.0109829945241219,0.9636363636363636,0.0234375
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.087890625,RFECA_SVR(k=5),SimpleMean,0.8557480643509361,0.8480200851951301,0.0077279791558062,0.0031354258235025,0.0128668820003032,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,RFECA_SVR(k=10),SimpleMean,0.8576248921493402,0.8480200851951301,0.0096048069542103,0.0052001689099859,0.014528622179787,1.0,0.015625
metabric,mar,0.3,f1_macro,True,3.0,0.009765625,10,5000,,0.087890625,RFECA_SVR(k=20),SimpleMean,0.8585895875390565,0.8480200851951301,0.0105695023439263,0.0048435033684722,0.0171093900691745,0.8909090909090909,0.01953125
metabric,mar,0.3,f1_macro,True,0.0,0.001953125,10,5000,,0.029296875,MissForest,SimpleMean,0.8606189427022096,0.8480200851951301,0.0125988575070796,0.0085581907982866,0.0172290604351675,1.0,0.015625
