cohort,mechanism,missing_rate,metric,higher_is_better,n_blocks,n_imputers,friedman_chi2,p_value,note,mean_rank__SimpleMean,mean_value__SimpleMean,"mean_rank__KNN(k=5,dist)","mean_value__KNN(k=5,dist)",mean_rank__RFECA_SVR(k=5),mean_value__RFECA_SVR(k=5),mean_rank__RFECA_SVR(k=10),mean_value__RFECA_SVR(k=10),mean_rank__RFECA_SVR(k=20),mean_value__RFECA_SVR(k=20),mean_rank__MissForest,mean_value__MissForest
discovery,mcar,0.2,corr_rv,True,10,6,50.0,1.3857973367009573e-09,,6.0,0.9559710813457654,2.0,0.9806961092133687,3.0,0.9770641406279326,4.0,0.9723549038949544,5.0,0.9654728799402583,1.0,0.9847160971369705
discovery,mcar,0.3,corr_rv,True,10,6,49.485714285714266,1.7656527390849315e-09,,6.0,0.9191185000117372,2.0,0.9677730567841589,3.1,0.9576778831883758,3.9,0.946074424253494,5.0,0.9332244060327104,1.0,0.97596488818435
metabric,mcar,0.05,f1_macro,True,10,6,7.085714285714289,0.21434328500615243,,4.7,0.878740165462206,3.8,0.8812234101019347,3.2,0.881190811925919,2.9,0.8821873344317991,2.8,0.8822424970815849,3.6,0.881212014345808
metabric,mcar,0.1,f1_macro,True,10,6,10.914285714285711,0.05310618118554786,,4.7,0.8747997280647162,4.3,0.8756739489033232,3.5,0.8770501697569497,2.8,0.8780695701858203,2.4,0.8788408255873517,3.3,0.8786664667109548
metabric,mcar,0.2,f1_macro,True,10,6,26.571428571428555,6.911700740902975e-05,,5.5,0.8660736598153809,4.1,0.8691416635535306,3.7,0.8699658920139648,3.8,0.8699883418704252,1.9,0.8748686891553614,2.0,0.8741775961522379
metabric,mcar,0.3,f1_macro,True,10,6,24.05714285714285,0.00021169148842076527,,5.1,0.8550846750816824,4.9,0.8582261234591261,3.7,0.8611557612545108,2.6,0.863862901789948,2.8,0.8627088318455878,1.9,0.8662237147375468
metabric,mcar,0.05,rmse,False,10,6,43.657142857142844,2.7187039782733127e-08,,6.0,1.0667378370555554,3.5,0.6795133633865713,4.8,0.6931456736171708,3.2,0.6778398115407647,2.5,0.6734393084175554,1.0,0.6172462402652915
metabric,mcar,0.1,rmse,False,10,6,44.91428571428571,1.51027210218236e-08,,6.0,1.0632839529894023,3.6,0.6914800654508626,4.9,0.7057575081677976,3.0,0.6890601949888076,2.5,0.6858574707692758,1.0,0.6236001728353093
metabric,mcar,0.2,rmse,False,10,6,45.714285714285694,1.0383475435309398e-08,,6.0,1.0675325388276042,3.5,0.7095707550674925,5.0,0.7231464675236974,2.5,0.7059020033174648,3.0,0.7059426056470143,1.0,0.6371393598958995
metabric,mcar,0.3,rmse,False,10,6,48.457142857142856,2.8649730580163434e-09,,6.0,1.068808469877248,3.1,0.7335889223533446,5.0,0.7433308152272196,2.1,0.7293349315575418,3.8,0.7360615266759072,1.0,0.6532032377531888
metabric,mcar,0.05,corr_rv,True,10,6,45.88571428571427,9.581903851109485e-09,,6.0,0.9985714920820682,2.8,0.9994371221355808,5.0,0.9993813614743445,3.6,0.9994263158697695,2.6,0.9994486358123824,1.0,0.9995316108810928
metabric,mcar,0.1,corr_rv,True,10,6,47.25714285714287,5.035347573384987e-09,,6.0,0.9966124942973279,2.8,0.9987166407340518,5.0,0.9985293604097596,3.8,0.9986628614222303,2.4,0.9987456566432924,1.0,0.9989516647384129
metabric,mcar,0.2,corr_rv,True,10,6,49.08571428571429,2.131508518493288e-09,,6.0,0.9903330879887285,2.2,0.9969743661175772,5.0,0.9962548502595416,4.0,0.9965909314014978,2.8,0.9968489212066768,1.0,0.9976544752451604
metabric,mcar,0.3,corr_rv,True,10,6,49.485714285714266,1.7656527390849315e-09,,6.0,0.9795621827478052,2.1,0.9945285305584186,5.0,0.9930525068504293,4.0,0.9936388041852793,2.9,0.9941441473759676,1.0,0.9958367736412237
discovery,mar,0.05,f1_macro,True,10,6,9.505988023952078,0.09050587355844741,,3.9,0.9220299644799645,2.3,0.9341653399740357,4.55,0.9190361160578551,3.4,0.9268685867272823,3.9,0.9232721252177776,2.95,0.928858846467542
