gene,rmse,mae,r2,pearson,spearman,n_observed_train,n_masked,winning_prefix_len,n_predictors_selected,winning_predictors,best_oof_rmse,selection_seconds,final_fit_seconds,status,n_candidates,fallback_count,seed,mask_hash,mechanism,missing_rate,replicate,wall_seconds_slot,svr_ok
ACTR3B,0.562458357070309,0.3449834222506746,0.51421825283797,0.7242497639752596,0.3933376303761866,1448,160,44,22,FOXA1|FOXC1|MIA|CCNE1|PHGDH|CXXC5|MELK|EXO1|KIF2C|ANLN|CEP55|BLVRA|MYC|MKI67|UBE2T|PTTG1|CENPF|SLC39A6|ERBB2|KRT14|MYBL2|BAG1,0.5287534818081889,1624.3950640999974,22.55570810000063,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
ANLN,0.3097616225570063,0.2381131115454825,0.7691231231917575,0.8795449912315824,0.8979032078231273,1442,166,44,22,MELK|CEP55|EXO1|NDC80|UBE2C|UBE2T|MLPH|CENPF|NUF2|RRM2|BCL2|EGFR|CDH3|MIA|GPR160|FOXC1|CDC6|KRT5|FGFR4|TMEM45B|BLVRA|BAG1,0.3011763085565916,1612.5238943000004,20.846886600003927,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
BAG1,0.390409691141671,0.2533320606444461,0.0885919473333113,0.3725476265230065,0.3890501655207538,1454,154,49,24,SLC39A6|BCL2|PHGDH|MMP11|CDC20|MLPH|FOXA1|SFRP1|PTTG1|CENPF|NUF2|KRT5|MDM2|ERBB2|ORC6|GRB7|RRM2|CDC6|MKI67|CCNB1|BLVRA|MELK|ANLN|TYMS,0.2936455496895454,2102.6797666000057,30.500945399995544,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
BCL2,0.6499521596161817,0.5280305148546057,0.6698569597772338,0.8204243723314114,0.7993454492985551,1442,166,49,24,ESR1|SLC39A6|EXO1|CDH3|ANLN|PHGDH|CDC20|FOXA1|KIF2C|MLPH|UBE2C|CEP55|RRM2|PTTG1|UBE2T|BAG1|MKI67|GPR160|TYMS|MIA|MYBL2|BLVRA|ORC6|MYC,0.6483483688486085,1287.7618130000046,19.702989500001426,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
BIRC5,0.4997966141270182,0.3641675555000799,0.7419279278099458,0.8622272571829999,0.8885682224083702,1452,156,43,21,KIF2C|CDC20|UBE2C|CEP55|EXO1|CCNE1|MKI67|ANLN|CCNB1|UBE2T|MLPH|GPR160|PGR|FOXC1|CDC6|EGFR|MIA|ORC6|GRB7|KRT5|BLVRA,0.4951948436777674,1427.8174077000003,18.68400359999214,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
BLVRA,0.5389393299551523,0.4091817689383413,0.5401966035556646,0.7390718256559038,0.7509929098208945,1434,174,39,19,ACTR3B|GPR160|MLPH|MIA|SLC39A6|CCNE1|MYC|PGR|ESR1|MKI67|CENPF|TYMS|MAPT|UBE2C|CCNB1|ANLN|FGFR4|PTTG1|MDM2,0.6272329016319403,1456.0067202999926,15.423174800002016,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CCNB1,0.3372181381909954,0.2658126475474323,0.6999589713374695,0.8390790119688893,0.8512976238104296,1442,166,47,23,NDC80|PTTG1|UBE2C|CEP55|CENPF|BIRC5|NUF2|MELK|MKI67|TYMS|CCNE1|CDC6|KRT14|MAPT|PHGDH|MYBL2|FGFR4|KRT17|BLVRA|MDM2|ERBB2|CXXC5|EGFR,0.3531873783842913,1617.2050518000033,27.160943700000644,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CCNE1,0.447220345565306,0.3102708934484836,0.7857088638019262,0.8950628942926315,0.9125002833417708,1461,147,44,22,KIF2C|MELK|EXO1|UBE2C|BIRC5|FOXA1|MLPH|PTTG1|MKI67|NDC80|GPR160|EGFR|UBE2T|CCNB1|MIA|NUF2|CDC6|FGFR4|GRB7|ERBB2|ORC6|MYC,0.4803621440698631,1479.7286298000108,20.031639399996493,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CDC20,0.3796713166943011,0.3022781453200897,0.9221323924268486,0.9603934727024196,0.9544141304704684,1465,143,39,19,KIF2C|UBE2C|CEP55|PTTG1|BIRC5|MELK|CENPF|NDC80|CCNB1|UBE2T|MLPH|BCL2|GPR160|NUF2|PGR|RRM2|CDC6|CXXC5|ORC6,0.3724569980016129,1709.0330308999985,17.138594699994428,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CDC6,0.2905631865384849,0.1615897366886826,0.1543582890545194,0.4536099170377446,0.5075237313957576,1448,160,22,11,EXO1|CEP55|PTTG1|BIRC5|KIF2C|ERBB2|CCNB1|MKI67|ANLN|RRM2|NUF2,0.1937317569418771,2021.7881588000016,5.545672399995965,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
NUF2,0.2437024010349626,0.1781589912580427,0.6398225231872701,0.8006063378693524,0.755180958958499,1450,158,40,20,NDC80|CCNB1|UBE2T|CEP55|ANLN|MELK|UBE2C|EXO1|PTTG1|KIF2C|TYMS|MLPH|CDC20|MKI67|CCNE1|RRM2|MIA|TMEM45B|MYBL2|CDH3,0.307308748734681,1649.9978114999976,19.99356670000998,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CDH3,0.9114019777999456,0.6563389926572465,0.5735083776599221,0.7924447169075931,0.8053077309485569,1436,172,49,24,KRT17|EGFR|KRT5|MLPH|CCNE1|BCL2|MIA|CDC20|KIF2C|ANLN|EXO1|ACTR3B|BIRC5|PTTG1|MKI67|GRB7|UBE2T|BAG1|CDC6|NUF2|MMP11|CCNB1|MYBL2|TMEM45B,0.8201704562811,1223.5409384999948,18.00361490000796,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CENPF,0.4188648325879575,0.3219769731117012,0.8034089191390953,0.8981021235648983,0.8967026838619727,1457,151,49,24,UBE2C|EXO1|CEP55|KIF2C|CDC20|MKI67|UBE2T|CCNB1|ANLN|TYMS|MLPH|BCL2|RRM2|FOXC1|GRB7|EGFR|BLVRA|ERBB2|MYBL2|BAG1|KRT5|KRT17|TMEM45B|MDM2,0.4055159161678704,1525.6867348000087,25.428524099988863,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CEP55,0.2530128110385478,0.1943182566700998,0.9028545028253654,0.950893745756886,0.9516850383227758,1445,163,46,23,UBE2C|MELK|KIF2C|PTTG1|EXO1|ANLN|BIRC5|CENPF|MKI67|UBE2T|NDC80|CCNB1|MLPH|NUF2|RRM2|BCL2|GPR160|FOXC1|KRT5|MYBL2|KRT14|TMEM45B|ORC6,0.277538334814723,1730.1804727999988,25.2773065000074,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
CXXC5,0.5199878592579755,0.4048629777155631,0.6644794623834872,0.8171992163070331,0.7771692952697548,1451,157,49,24,ESR1|MLPH|FOXC1|MAPT|PHGDH|ACTR3B|ANLN|MIA|CCNE1|NDC80|KIF2C|GPR160|CEP55|MYC|TYMS|UBE2T|MKI67|PTTG1|UBE2C|GRB7|TMEM45B|CCNB1|CDC6|MYBL2,0.5451270980529972,1510.2986394999898,22.53285440000764,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
EGFR,0.6028906311940777,0.303484178968481,0.5433030082420065,0.7397338328392973,0.7942867087663468,1439,169,37,18,ESR1|CDH3|FOXA1|FOXC1|BCL2|KRT5|SFRP1|CCNE1|PHGDH|ANLN|MIA|CDC20|EXO1|NDC80|UBE2C|PTTG1|KRT14|BLVRA,0.6105100776463485,1819.5110140000036,17.339292099990416,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
ERBB2,0.5135994400342229,0.3911219136206836,0.8241402931667141,0.9124891453728822,0.8186669081801161,1456,152,48,24,GRB7|FGFR4|CDC6|MYC|PGR|FOXA1|MIA|ACTR3B|TYMS|MAPT|CCNE1|NDC80|EXO1|CENPF|BLVRA|CDC20|GPR160|RRM2|BAG1|KIF2C|UBE2T|MKI67|ANLN|PTTG1,0.5426332651080654,1543.86644659999,21.733758599992143,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
ESR1,0.956811010647148,0.7795504237879203,0.8381794615599232,0.9169559016211486,0.8515159729580983,1454,154,46,23,BCL2|FOXA1|SLC39A6|MAPT|EGFR|CXXC5|MELK|KIF2C|NDC80|FGFR4|GRB7|UBE2C|PTTG1|MKI67|RRM2|UBE2T|ERBB2|BAG1|MDM2|NUF2|BLVRA|CDC6|MYC,0.9276777495139228,1153.4824974999938,15.095819000009216,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
EXO1,0.3053664351091095,0.2347265655326637,0.8717589473369949,0.9347258733558248,0.944488091094426,1439,169,38,19,CEP55|MELK|KIF2C|UBE2C|CDC20|CENPF|BIRC5|UBE2T|CCNE1|MKI67|NDC80|TYMS|PHGDH|BCL2|CDH3|ACTR3B|CDC6|MIA|KRT5,0.3076038008977091,1721.937137099987,17.954226900008507,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
FGFR4,0.8220780395552825,0.5840627442663259,0.2866692852550794,0.5623161080877129,0.551765185878513,1437,171,49,24,ERBB2|SLC39A6|BCL2|ESR1|PGR|TMEM45B|CCNE1|EXO1|UBE2C|ANLN|MELK|MKI67|CENPF|PTTG1|CCNB1|BAG1|BLVRA|NDC80|MDM2|MYBL2|FOXC1|MLPH|GPR160|FOXA1,0.8294512634984589,1334.2098947999912,21.927320300004794,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
FOXA1,0.6623488648953683,0.4624952951243904,0.891987757428955,0.9449785511092788,0.8391728960694479,1464,144,48,24,MLPH|FOXC1|ESR1|MIA|CCNE1|ACTR3B|GPR160|MELK|ANLN|EXO1|CEP55|NDC80|UBE2C|BCL2|PTTG1|MKI67|UBE2T|KRT14|CCNB1|ERBB2|RRM2|BAG1|CDC6|FGFR4,0.5451806535353643,1626.2843896999984,24.643579399999,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
FOXC1,0.8222722771074015,0.6115149366975323,0.7878345187378064,0.897821885799084,0.7640759653143553,1455,153,46,23,FOXA1|SFRP1|KRT5|KRT17|ACTR3B|CXXC5|CCNE1|CDC20|KIF2C|EXO1|MKI67|ANLN|CEP55|NDC80|CENPF|ERBB2|NUF2|BAG1|MDM2|UBE2T|ORC6|RRM2|CCNB1,0.7080379087694751,1265.6595839000074,16.65815709999879,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
GPR160,0.6027021919426521,0.466590585519418,0.4392596688922537,0.6830949782621147,0.6773323611691752,1444,164,49,24,FOXA1|CCNE1|CDC20|NAT1|KIF2C|ACTR3B|KRT5|BIRC5|BLVRA|MKI67|CEP55|MELK|ANLN|MYC|NDC80|BCL2|PGR|ORC6|UBE2T|MDM2|CDC6|MMP11|MYBL2|FGFR4,0.5787738715927175,1364.4820075000025,21.421446999986077,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
GRB7,0.5340337169684156,0.3785152619596059,0.8255003239310924,0.9127485591868622,0.7508047485288991,1456,152,33,16,ERBB2|CDC6|NAT1|MAPT|MELK|CDC20|CCNE1|ANLN|KIF2C|UBE2T|CENPF|PTTG1|BIRC5|MKI67|MDM2|MYC,0.5162952546203072,1438.440440499995,10.471800500003155,ok,49,0,117042,29ad6d1cc44099cb,mar,0.1,0,5105.730130999989,1
